0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:31:40 +0900] "GET /HelloJSP/greeting-out.jsp HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:31:50 +0900] "GET /HelloJSP/index.jsp HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:31:57 +0900] "GET /HelloJSP/total-error.jsp HTTP/1.1" 500 2763
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:32:03 +0900] "GET /HelloJSP/total-out.jsp HTTP/1.1" 500 3234
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:33:56 +0900] "GET /HelloServlet/ HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:33:58 +0900] "GET /HelloServlet/HelloServlet HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:34:00 +0900] "GET /HelloServlet/welcome.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:34:02 +0900] "GET /HelloServlet/inquiry.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:34:06 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:34:08 +0900] "GET /HelloServlet/MySQLServlet HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:34:37 +0900] "GET /HelloServlet/TestServlet?username=1&password=1 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:34:39 +0900] "GET /HelloServlet/TestServlet?username=1&password=1 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:34:40 +0900] "GET /HelloServlet/TestServlet?username=1&password=1 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [27/Nov/2018:11:34:41 +0900] "GET /HelloServlet/TestServlet?username=1&password=1 HTTP/1.1" 200 51
